,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Stylist,$19.25 /hr (est.),Stylist,3.1,Stitch Fix,"San Francisco, CA","San Francisco, CA",10000+ Employees,2011,Company - Public,Other Retail Stores,Retail & Wholesale,$2 to $5 billion (USD),-1
1,"Data Scientist, Product Analytics","$135,403 /yr (est.)","Data Scientist, Product Analytics",4.7,Atlassian,"San Francisco, CA","San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
2,"Manager of Data Science, Analytics","$148,346 /yr (est.)","Manager of Data Science, Analytics",4.3,Sojern,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),-1
3,"Data Analyst, Corporate Strategy, Planning & Analysis","$138,121 /yr (est.)","Data Analyst, Corporate Strategy, Planning & Analysis",4.2,Netflix,"Los Gatos, CA","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
4,Data Analyst,"$105,692 /yr (est.)",Data Analyst,3.3,Wish,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $2 billion (USD),-1
5,Data Scientist,"$119,142 /yr (est.)",Data Scientist,4.0,Visa,"Foster City, CA","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
6,Data Science Consultant,"$105,150 /yr (est.)",Data Science Consultant,4.1,Accenture,"San Francisco, CA","San Francisco, CA",10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),-1
7,Soil Science Research Associate,"$63,325 /yr (est.)",Soil Science Research Associate,4.5,Pattern Ag,"San Francisco, CA","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
8,Director Data Science,"$171,602 /yr (est.)",Director Data Science,4.0,Stanford Health Care,"Palo Alto, CA","Palo Alto, CA",10000+ Employees,1957,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),-1
9,Data Scientist,"$95,000 /yr (est.)",Data Scientist,3.8,Logic20/20 Inc.,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD),-1
10,Data Scientist - Trust & Safety,"$138,085 /yr (est.)",Data Scientist - Trust & Safety,3.3,Wish,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $2 billion (USD),-1
11,Jr. Data Scientist,"$130,991 /yr (est.)",Jr. Data Scientist,5.0,Aroopa,"San Francisco, CA","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
12,UX Writer (Contractor),"$108,616 /yr (est.)",UX Writer (Contractor),3.3,Wish,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $2 billion (USD),-1
13,Data Collection Operator,-1,Data Collection Operator,4.2,Apple,"Cupertino, CA","Cupertino, CA",-1,-1,-1,-1,-1,-1,-1
14,"Vice President, Data Science and Engineering",-1,"Vice President, Data Science and Engineering",4.5,Google,"Mountain View, CA","Mountain View, CA",-1,-1,-1,-1,-1,-1,-1
15,Sr. Digital Analytics Data Specialist,"$96,977 /yr (est.)",Sr. Digital Analytics Data Specialist,4.2,Workday,"Pleasanton, CA","Pleasanton, CA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1
16,Marketing Data Scientist,"$109,766 /yr (est.)",Marketing Data Scientist,4.2,HP,"Palo Alto, CA","Palo Alto, CA",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
17,US - Data & Technology,"$109,561 /yr (est.)",US - Data & Technology,4.3,Slalom Consulting,"San Jose, CA","San Jose, CA",10000+ Employees,2001,Company - Private,Business Consulting,Management & Consulting,$2 to $5 billion (USD),-1
18,"Junior Data Scientist, Supply Chain","$90,000 /mo (est.)","Junior Data Scientist, Supply Chain",4.3,DELL GLOBAL B.V. (SINGAPORE BRANCH),"Marina, CA","Marina, CA",10000+ Employees,1984,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
19,Data Scientist,"$134,951 /yr (est.)",Data Scientist,3.1,Stitch Fix,"San Francisco, CA","San Francisco, CA",10000+ Employees,2011,Company - Public,Other Retail Stores,Retail & Wholesale,$2 to $5 billion (USD),-1
20,Director of Data Science,"$153,287 /yr (est.)",Director of Data Science,3.2,LoanSnap,"San Francisco, CA","San Francisco, CA",51 to 200 Employees,2017,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1
21,"Partner Data Scientist, Telco","$159,950 /yr (est.)","Partner Data Scientist, Telco",4.3,Meta,"San Francisco, CA","San Francisco, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
22,Postdoctoral Scholar - Data Science Program - School of Information,"$100,774 /yr (est.)",Postdoctoral Scholar - Data Science Program - School of Information,4.4,University of California Berkeley,"Berkeley, CA","Berkeley, CA",-1,-1,-1,-1,-1,-1,-1
23,Staff Data Scientist (ML Ops),"$156,043 /yr (est.)",Staff Data Scientist (ML Ops),4.8,Turo,"San Francisco, CA","San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
24,"Data Scientist, Operations Data Science",-1,"Data Scientist, Operations Data Science",4.5,Google,"Mountain View, CA","Mountain View, CA",-1,-1,-1,-1,-1,-1,-1
25,Machine Learning Scientist,"$146,309 /yr (est.)",Machine Learning Scientist,4.7,Atlassian,"Mountain View, CA","Mountain View, CA",5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
26,Data Science Analysis Manager,"$156,898 /yr (est.)",Data Science Analysis Manager,4.3,Cisco Systems,"San Jose, CA","San Jose, CA",10000+ Employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
27,"Data Scientist, Product","$135,995 /yr (est.)","Data Scientist, Product",4.3,Earnin,"Palo Alto, CA","Palo Alto, CA",201 to 500 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
28,Program Manager - Data Enablement & Analytics,"$137,479 /yr (est.)",Program Manager - Data Enablement & Analytics,4.3,Cisco Systems,"San Jose, CA","San Jose, CA",10000+ Employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
29,Director Data Science,"$139,087 /yr (est.)",Director Data Science,4.0,Visa,"Foster City, CA","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
30,Data Science Manager - Community Health,"$139,960 /yr (est.)",Data Science Manager - Community Health,4.1,Twitch,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
31,"Data Scientist - Analytics, US Safety","$129,063 /yr (est.)","Data Scientist - Analytics, US Safety",3.6,TikTok,"Mountain View, CA","Mountain View, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
32,"Associate, Corporate FP&A","$172,361 /yr (est.)","Associate, Corporate FP&A",4.2,Netflix,"Los Gatos, CA","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
33,Data Analyst,"$94,820 /yr (est.)",Data Analyst,4.2,First Republic Bank,"San Francisco, CA","San Francisco, CA",5001 to 10000 Employees,1985,Company - Public,Banking & Lending,Financial Services,$2 to $5 billion (USD),-1
34,Data Science Program Manager,"$135,782 /yr (est.)",Data Science Program Manager,4.0,PayPal,"San Jose, CA","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
35,Data Science Consultant,"$152,814 /yr (est.)",Data Science Consultant,4.1,Unify Consulting,"San Francisco, CA","San Francisco, CA",501 to 1000 Employees,2006,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
36,Senior Data Scientist,"$165,500 /yr (est.)",Senior Data Scientist,4.2,Netflix,"Los Gatos, CA","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
37,"Associate Director, Forecasting Data Science","$131,006 /yr (est.)","Associate Director, Forecasting Data Science",3.4,Wayfair,"Mountain View, CA","Mountain View, CA",10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$5 to $10 billion (USD),-1
38,Product Data Scientist,"$111,731 /yr (est.)",Product Data Scientist,4.8,Philo,"San Francisco, CA","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
39,Director of Product Science,"$157,543 /yr (est.)",Director of Product Science,4.3,FLYR Labs,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),-1
40,Risk Strategy Analyst,"$114,164 /yr (est.)",Risk Strategy Analyst,3.3,Wish,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $2 billion (USD),-1
41,Data Science Manager,"$153,600 /yr (est.)",Data Science Manager,4.1,Discord,"San Francisco, CA","San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD),-1
42,Data Science Manager - Visits,"$141,189 /yr (est.)",Data Science Manager - Visits,4.2,Foursquare,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
43,"Data Scientist, Product","$131,591 /yr (est.)","Data Scientist, Product",4.9,Notion,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
44,Data Scientist - Analytics,"$148,927 /yr (est.)",Data Scientist - Analytics,3.8,"Twitch Interactive, Inc.","San Francisco, CA","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
45,"Director, Data Science & Analytics - Growth","$155,283 /yr (est.)","Director, Data Science & Analytics - Growth",4.2,Roblox,"San Mateo, CA","San Mateo, CA",501 to 1000 Employees,2004,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
46,"Director, Data Science","$143,919 /yr (est.)","Director, Data Science",3.3,One Medical,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2009,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1
47,Evaluation and Data Strategy Officer,"$131,338 /yr (est.)",Evaluation and Data Strategy Officer,4.1,Blue Shield of California,"San Francisco, CA","San Francisco, CA",5001 to 10000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),-1
48,Head of Data Science,"$139,216 /yr (est.)",Head of Data Science,3.0,FastAF Technologies,"San Francisco, CA","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
49,Data Scientist,"$118,944 /yr (est.)",Data Scientist,4.0,Waymo,"Mountain View, CA","Mountain View, CA",Unknown,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
50,Machine Learning/Data Science Manager,"$131,266 /yr (est.)",Machine Learning/Data Science Manager,4.6,Iterative Scopes,"San Francisco, CA","San Francisco, CA",1 to 50 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1
51,"Principal, Data Science/Analytics","$110,000 /yr (est.)","Principal, Data Science/Analytics",4.0,Splunk,"San Jose, CA","San Jose, CA",5001 to 10000 Employees,2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1
52,Associate User Research Analyst (Contract),"$86,946 /yr (est.)",Associate User Research Analyst (Contract),3.9,PlayStation Global,"San Mateo, CA","San Mateo, CA",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),-1
53,Data Scientist,"$119,747 /yr (est.)",Data Scientist,4.2,Gather,"San Francisco, CA","San Francisco, CA",51 to 200 Employees,2013,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
54,Data Analyst,"$78,475 /yr (est.)",Data Analyst,5.0,Arkestro,"San Francisco, CA","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
55,Machine Learning Scientist,"$146,309 /yr (est.)",Machine Learning Scientist,4.7,Atlassian,"Mountain View, CA","Mountain View, CA",5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
56,Associate User Research Analyst (Contract),"$86,946 /yr (est.)",Associate User Research Analyst (Contract),3.9,PlayStation Global,"San Mateo, CA","San Mateo, CA",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),-1
57,Risk Strategy Analyst,"$114,164 /yr (est.)",Risk Strategy Analyst,3.3,Wish,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $2 billion (USD),-1
58,"Associate Director, Forecasting Data Science","$131,006 /yr (est.)","Associate Director, Forecasting Data Science",3.4,Wayfair,"Mountain View, CA","Mountain View, CA",10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$5 to $10 billion (USD),-1
59,Director Data Science,"$139,087 /yr (est.)",Director Data Science,4.0,Visa,"Foster City, CA","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
60,Data Analyst,"$94,820 /yr (est.)",Data Analyst,4.2,First Republic Bank,"San Francisco, CA","San Francisco, CA",5001 to 10000 Employees,1985,Company - Public,Banking & Lending,Financial Services,$2 to $5 billion (USD),-1
61,Data Science Manager - Visits,"$141,189 /yr (est.)",Data Science Manager - Visits,4.2,Foursquare,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
62,Data Science Program Manager,"$135,782 /yr (est.)",Data Science Program Manager,4.0,PayPal,"San Jose, CA","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
63,"Data Scientist, Product","$135,995 /yr (est.)","Data Scientist, Product",4.3,Earnin,"Palo Alto, CA","Palo Alto, CA",201 to 500 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
64,"Principal, Data Science/Analytics","$110,000 /yr (est.)","Principal, Data Science/Analytics",4.0,Splunk,"San Jose, CA","San Jose, CA",5001 to 10000 Employees,2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1
65,"Director, Data Science & Analytics - Growth","$155,283 /yr (est.)","Director, Data Science & Analytics - Growth",4.2,Roblox,"San Mateo, CA","San Mateo, CA",501 to 1000 Employees,2004,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
66,Data Scientist,"$95,000 /yr (est.)",Data Scientist,3.8,Logic20/20 Inc.,"San Jose, CA","San Jose, CA",201 to 500 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD),-1
67,Director of Product Science,"$157,543 /yr (est.)",Director of Product Science,4.3,FLYR Labs,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),-1
68,Product Science Manager (Data Science),"$220,000 /yr (est.)",Product Science Manager (Data Science),4.4,Indeed,"San Francisco, CA","San Francisco, CA",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD),-1
69,"Manager, Product FP&A","$148,317 /yr (est.)","Manager, Product FP&A",4.2,Netflix,"Los Gatos, CA","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
70,Data Scientist - Analytics,"$148,927 /yr (est.)",Data Scientist - Analytics,3.8,"Twitch Interactive, Inc.","San Francisco, CA","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
71,Data Analysis Manager,"$137,685 /yr (est.)",Data Analysis Manager,4.3,Cisco Systems,"San Jose, CA","San Jose, CA",10000+ Employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
72,Machine Learning/Data Science Manager,"$131,266 /yr (est.)",Machine Learning/Data Science Manager,4.6,Iterative Scopes,"San Francisco, CA","San Francisco, CA",1 to 50 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1
73,Principal Product Manager - Data,"$163,330 /yr (est.)",Principal Product Manager - Data,3.7,Fandom,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2004,Company - Private,Broadcast Media,Media & Communication,$100 to $500 million (USD),-1
74,Senior Data Scientist,"$135,858 /yr (est.)",Senior Data Scientist,4.0,Visa,"Foster City, CA","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
75,Director of Data Science,"$162,067 /yr (est.)",Director of Data Science,4.3,FLYR Labs,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),-1
